N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
156,한샘,"74,300","3,000",-3.88%,"1,000","17,486","23,534",16.09,"114,645",21.86,10.83,
157,효성,"81,800",400,-0.49%,"5,000","17,236","21,071",8.05,"48,861",4.45,-2.26,
158,TIGER MSCI Korea TR,"15,220",135,+0.89%,0,"17,107","112,400",13.52,"2,236",N/A,N/A,
159,KODEX 200선물인버스2X,"2,395",40,-1.64%,0,"17,067","712,600",4.50,"166,540,757",N/A,N/A,
160,오뚜기,"460,000","1,000",+0.22%,"5,000","16,891","3,672",11.64,"3,348",15.27,7.93,
161,JB금융지주,"8,500",70,-0.82%,"5,000","16,744","196,983",42.28,"321,858",3.51,10.06,
162,대웅제약,"143,000","1,500",+1.06%,"2,500","16,569","11,587",6.07,"29,462",143.57,2.38,
163,더존비즈온,"54,500",500,-0.91%,500,"16,559","30,383",38.91,"105,144",26.68,15.09,
164,DGB금융지주,"9,780",70,-0.71%,"5,000","16,542","169,146",49.65,"473,456",3.49,6.93,
165,LS,"51,000",300,-0.58%,"5,000","16,422","32,200",13.57,"118,878",6.41,3.94,
166,KODEX 단기채권,"103,205",15,+0.01%,0,"16,095","15,595",0.00,"48,963",N/A,N/A,
167,대웅,"27,500",400,+1.48%,500,"15,989","58,142",4.22,"84,944",15.14,15.10,
168,한전KPS,"35,200",50,+0.14%,200,"15,840","45,000",7.15,"158,277",13.11,8.23,
169,아시아나항공,"21,100",100,+0.48%,"5,000","15,701","74,412",7.20,"921,792",-3.63,-43.83,
170,KODEX 삼성그룹,"9,240",75,+0.82%,0,"15,699","169,900",0.30,"91,858",N/A,N/A,
171,일진하이솔루스,"43,200",550,+1.29%,500,"15,687","36,313",1.77,"106,867",80.60,34.27,
172,현대엘리베이,"38,100",0,0.00%,"5,000","15,551","40,815",29.26,"96,291",24.55,9.78,
173,두산,"93,800","2,400",-2.49%,"5,000","15,499","16,524",10.68,"45,334",-54.03,-34.34,
174,롯데칠성,"167,000","1,000",+0.60%,500,"15,496","9,279",8.97,"75,463",19.74,-1.00,
175,동국제강,"16,200",100,-0.61%,"5,000","15,460","95,433",22.49,"628,430",3.42,3.35,
176,아이에스동서,"50,000","1,650",+3.41%,500,"15,446","30,893",4.19,"143,362",28.64,10.92,
177,KODEX 종합채권(AA-이상)액티브,"106,165",45,+0.04%,0,"14,158","13,336",0.00,"16,615",N/A,N/A,
178,한일시멘트,"20,050",50,+0.25%,500,"13,887","69,262",2.58,"126,913",13.21,N/A,
179,신풍제약,"26,000","1,250",+5.05%,500,"13,776","52,985",10.35,"2,412,889","4,333.33",1.72,
180,LIG넥스원,"62,400",0,0.00%,"5,000","13,728","22,000",6.23,"264,160",14.55,8.86,
181,TIGER 미국S&P500,"13,775",120,+0.88%,0,"13,610","98,800",0.01,"1,220,496",N/A,N/A,
182,NHN,"36,200","1,450",-3.85%,500,"13,581","37,518",19.25,"195,584",41.80,1.35,
183,TIGER 단기통안채,"100,590",10,+0.01%,0,"13,525","13,446",0.88,"2,115,922",N/A,N/A,
184,케이카,"28,100","1,100",-3.77%,500,"13,512","48,087",18.39,"160,791",46.68,15.11,
185,코리안리,"10,950",350,+3.30%,500,"13,180","120,369",31.90,"750,863",8.39,5.78,
186,LS ELECTRIC,"43,750",200,-0.46%,"5,000","13,125","30,000",17.52,"295,236",16.20,6.15,
187,티와이홀딩스,"25,750",0,0.00%,500,"13,114","50,929",5.12,"58,280",2.22,N/A,
188,롯데리츠,"5,360",30,+0.56%,500,"13,023","242,969",9.61,"207,141",33.50,1.68,
189,한국앤컴퍼니,"13,700",50,+0.37%,500,"13,006","94,935",9.63,"42,506",5.26,5.08,
190,대한전선,"1,515",55,-3.50%,100,"12,976","856,473",1.40,"5,466,465",42.08,0.92,
191,TIGER 미국테크TOP10 INDXX,"12,120",125,+1.04%,0,"12,896","106,400",0.06,"877,089",N/A,N/A,
192,현대두산인프라코어,"6,530",10,+0.15%,"1,000","12,892","197,435",9.74,"1,563,334",5.59,6.47,
193,ESR켄달스퀘어리츠,"6,050",20,+0.33%,"1,000","12,892","213,089",31.95,"267,623",159.21,1.14,
194,명신산업,"24,450",0,0.00%,500,"12,829","52,470",2.55,"566,902",-10.60,-67.39,
195,PI첨단소재,"43,600",600,+1.40%,500,"12,804","29,366",12.78,"117,295",21.89,15.62,
196,롯데렌탈,"34,800",300,-0.85%,"5,000","12,749","36,634",1.65,"60,626",12.07,6.73,
197,에스엘,"26,100",200,-0.76%,500,"12,581","48,203",14.83,"67,652",8.65,4.74,
198,DL,"59,700","1,000",-1.65%,"5,000","12,511","20,956",11.63,"29,328",1.90,11.84,
199,코스모신소재,"40,450",300,-0.74%,"1,000","12,170","30,087",5.98,"163,368",51.86,7.16,
200,영풍,"657,000","8,000",-1.20%,"5,000","12,102","1,842",4.15,805,10.21,4.03,
